FIRST 10K FIBONACCI NUMBERS


2 - number 1
3 - number 2
5 - number 3
8 - number 4
13 - number 5
21 - number 6
34 - number 7
55 - number 8
89 - number 9
144 - number 10
233 - number 11
377 - number 12
610 - number 13
987 - number 14
1597 - number 15
2584 - number 16
4181 - number 17
6765 - number 18
10946 - number 19
17711 - number 20
28657 - number 21
46368 - number 22
75025 - number 23
121393 - number 24
196418 - number 25
317811 - number 26
514229 - number 27
832040 - number 28
1346269 - number 29
2178309 - number 30
3524578 - number 31
5702887 - number 32
9227465 - number 33
14930352 - number 34
24157817 - number 35
39088169 - number 36
63245986 - number 37
102334155 - number 38
165580141 - number 39
267914296 - number 40
433494437 - number 41
701408733 - number 42
1134903170 - number 43
1836311903 - number 44
2971215073 - number 45
4807526976 - number 46
7778742049 - number 47
12586269025 - number 48
20365011074 - number 49
32951280099 - number 50
53316291173 - number 51
86267571272 - number 52
139583862445 - number 53
225851433717 - number 54
365435296162 - number 55
591286729879 - number 56
956722026041 - number 57
1548008755920 - number 58
2504730781961 - number 59
4052739537881 - number 60
6557470319842 - number 61
10610209857723 - number 62
17167680177565 - number 63
27777890035288 - number 64
44945570212853 - number 65
72723460248141 - number 66
117669030460994 - number 67
190392490709135 - number 68
308061521170129 - number 69
498454011879264 - number 70
806515533049393 - number 71
1304969544928657 - number 72
2111485077978050 - number 73
3416454622906707 - number 74
5527939700884757 - number 75
8944394323791464 - number 76
1.447233402467625e16 - number 77
2.3416728348467784e16 - number 78
3.7889062373144156e16 - number 79
6.130579072161213e16 - number 80
9.919485309475661e16 - number 81
1.6050064381636926e17 - number 82
2.596954969111267e17 - number 83
4.201961407274973e17 - number 84
6.798916376386261e17 - number 85
1.100087778366127e18 - number 86
1.7799794160047586e18 - number 87
2.880067194370895e18 - number 88
4.660046610375669e18 - number 89
7.540113804746587e18 - number 90
1.2200160415122294e19 - number 91
1.9740274219868943e19 - number 92
3.194043463499134e19 - number 93
5.168070885486045e19 - number 94
8.362114348985205e19 - number 95
1.3530185234471293e20 - number 96
2.1892299583456567e20 - number 97
3.5422484817927975e20 - number 98
5.731478440138472e20 - number 99
9.2737269219313e20 - number 100
1.500520536206982e21 - number 101
2.42789322840012e21 - number 102
3.928413764607114e21 - number 103
6.356306993007254e21 - number 104
1.02847207576144e22 - number 105
1.6641027750621706e22 - number 106
2.692574850823619e22 - number 107
4.356677625885804e22 - number 108
7.049252476709446e22 - number 109
1.1405930102595285e23 - number 110
1.845518257930479e23 - number 111
2.986111268190017e23 - number 112
4.831629526120512e23 - number 113
7.817740794310554e23 - number 114
1.2649370320431106e24 - number 115
2.0467111114741723e24 - number 116
3.3116481435172935e24 - number 117
5.358359254991483e24 - number 118
8.670007398508805e24 - number 119
1.4028366653500333e25 - number 120
2.2698374052009207e25 - number 121
3.6726740705509657e25 - number 122
5.942511475751905e25 - number 123
9.615185546302902e25 - number 124
1.5557697022054857e26 - number 125
2.517288256835784e26 - number 126
4.073057959041282e26 - number 127
6.590346215877087e26 - number 128
1.0663404174918403e27 - number 129
1.7253750390795546e27 - number 130
2.7917154565714037e27 - number 131
4.517090495650972e27 - number 132
7.3088059522224e27 - number 133
